
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2014-8-15,21,16,12,12,11,9,94,71,41,1021,1016,1011,31,16,7,19,10,,0.25,4,Rain,309<br />
2014-8-16,22,17,11,11,9,7,94,62,30,1022,1020,1016,31,16,10,35,13,,0.00,3,,270<br />
2014-8-17,21,17,13,14,9,6,88,63,27,1016,1010,1007,31,16,10,34,24,53,1.02,5,Rain,256<br />
2014-8-18,20,16,11,13,9,7,88,68,38,1012,1009,1007,31,17,10,23,16,,0.51,2,Rain,283<br />
2014-8-19,19,14,9,9,7,4,87,60,29,1016,1013,1011,31,13,10,26,14,,0.25,1,Rain,284<br />
2014-8-20,19,13,8,8,6,3,93,62,26,1018,1017,1016,31,17,10,21,10,,0.00,2,,291<br />
2014-8-21,18,12,7,9,8,5,93,67,37,1018,1015,1012,31,17,10,34,13,,0.00,2,Rain,251<br />
2014-8-22,21,17,12,11,9,5,88,63,25,1014,1011,1009,31,16,2,26,16,,0.51,2,Rain,271<br />
2014-8-23,19,14,8,9,7,3,93,65,25,1019,1015,1014,31,18,10,23,11,,0.25,2,Rain,282<br />
2014-8-24,19,13,7,10,7,5,93,67,32,1020,1019,1016,31,17,10,19,10,35,0.00,1,,238<br />
2014-8-25,17,15,13,16,13,8,95,88,61,1016,1008,1001,31,11,3,16,10,,17.02,5,Rain,138<br />
2014-8-26,17,14,13,15,13,9,100,88,66,1013,1005,1001,26,11,3,23,10,,3.05,4,Rain,60<br />
2014-8-27,20,16,11,15,12,9,94,74,48,1015,1014,1011,31,14,10,26,13,,0.00,4,Rain,101<br />
2014-8-28,23,19,15,17,14,11,96,77,46,1013,1011,1009,31,14,3,27,16,45,0.25,4,Rain,207<br />
2014-8-29,21,18,14,14,13,11,94,74,43,1014,1013,1012,31,14,10,35,19,47,0.25,3,Rain,225<br />
2014-8-30,20,18,14,14,12,9,88,67,38,1017,1015,1013,31,15,8,27,23,,0.25,3,Rain,265<br />
2014-8-31,22,17,12,12,11,9,94,68,36,1020,1018,1017,31,16,10,21,11,,0.00,2,,286<br />
2014-9-1,19,16,12,17,14,10,94,89,71,1022,1020,1019,27,13,3,19,10,,1.02,5,Rain,241<br />
2014-9-2,23,18,12,14,12,10,94,72,36,1024,1023,1022,31,13,4,16,8,,0.00,3,,68<br />
2014-9-3,23,19,14,15,13,9,100,73,41,1024,1022,1021,31,10,3,21,10,,0.00,3,Fog,67<br />
2014-9-4,21,17,13,15,13,12,100,75,53,1022,1019,1017,21,9,2,16,8,,0.00,5,,57<br />
2014-9-5,21,18,16,15,13,12,88,72,49,1017,1016,1015,14,9,5,11,6,,0.00,6,,21<br />
2014-9-6,22,19,16,15,14,12,88,73,51,1015,1014,1013,11,7,5,10,5,,0.00,3,Rain,296<br />
2014-9-7,21,17,13,14,12,8,94,71,41,1018,1016,1014,23,10,2,11,6,,0.00,4,,354<br />
2014-9-8,22,16,10,13,9,7,94,64,28,1021,1019,1018,27,12,5,11,6,,0.00,1,,351<br />
2014-9-9,22,17,12,12,10,8,88,64,33,1022,1021,1020,26,14,10,19,6,,0.00,2,,99<br />
2014-9-10,21,16,11,12,10,8,94,68,38,1022,1022,1020,23,13,9,21,8,,0.00,2,,92<br />
2014-9-11,18,14,10,11,10,8,94,70,45,1024,1022,1021,13,8,5,11,6,,0.00,6,,42<br />
2014-9-12,23,18,13,14,12,9,94,70,33,1026,1024,1023,31,11,5,19,11,,0.00,3,,76<br />
2014-9-13,21,17,12,14,12,11,100,75,45,1027,1026,1025,31,12,3,19,11,,0.00,4,,56<br />
2014-9-14,21,17,12,13,12,10,94,73,45,1027,1023,1020,29,12,6,24,11,,0.00,2,Rain,58<br />
2014-9-15,22,17,12,14,12,9,100,74,35,1020,1017,1015,26,12,5,14,6,,0.00,3,,71<br />
2014-9-16,23,18,13,16,14,11,100,77,39,1016,1014,1013,19,6,2,19,8,,0.00,5,,70<br />
2014-9-17,21,18,16,15,14,13,94,78,59,1014,1012,1010,11,6,3,19,13,,0.00,5,,58<br />
2014-9-18,26,20,14,16,15,13,94,74,43,1011,1009,1008,19,6,2,19,11,35,0.00,5,,71<br />
2014-9-19,24,20,16,18,16,15,94,82,52,1013,1011,1009,19,6,1,13,8,,0.00,4,Rain-Thunderstorm,47<br />
2014-9-20,19,17,15,17,15,12,100,86,70,1020,1016,1013,19,7,2,14,8,,0.00,6,Rain-Thunderstorm,20<br />
2014-9-21,18,14,11,14,10,8,94,71,42,1027,1024,1020,31,14,3,21,11,,0.00,3,Rain,14<br />
2014-9-22,19,13,7,9,8,6,100,68,35,1028,1026,1024,19,10,7,11,6,,0.25,1,,309<br />
2014-9-23,19,13,8,11,8,6,100,70,35,1024,1021,1017,23,9,5,19,6,,0.00,2,Fog,262<br />
2014-9-24,19,14,10,13,9,5,94,70,36,1018,1014,1013,31,10,3,23,14,,0.51,3,Rain,282<br />
2014-9-25,19,13,7,12,9,5,93,71,48,1022,1020,1018,31,17,10,26,13,,0.00,5,,249<br />
2014-9-26,22,19,15,15,13,10,88,71,41,1027,1023,1021,31,15,5,21,13,,0.00,3,Rain,257<br />
2014-9-27,21,17,12,14,12,11,94,71,43,1028,1026,1024,31,15,10,13,5,,0.00,6,,146<br />
2014-9-28,24,19,14,15,14,13,94,72,41,1024,1021,1019,27,13,6,16,6,,0.00,4,,116<br />
2014-9-29,19,16,13,16,13,12,100,84,61,1021,1020,1019,21,10,4,16,5,,0.76,2,Rain,213<br />
2014-9-30,22,18,14,15,13,12,94,78,44,1024,1023,1022,27,10,4,19,13,32,0.00,4,,222<br />
2014-10-1,21,18,14,16,13,11,94,76,44,1028,1025,1022,31,14,6,23,13,,0.51,4,Rain,237<br />
2014-10-2,22,19,14,14,13,11,94,75,46,1030,1028,1024,31,15,6,21,8,35,0.00,3,,203<br />
2014-10-3,22,17,12,14,13,11,100,81,41,1026,1022,1017,31,9,0,21,11,39,0.00,4,Fog,205<br />
2014-10-4,18,13,7,15,11,5,94,85,60,1020,1014,1010,29,10,4,23,11,,9.91,4,Rain,261<br />
2014-10-5,16,10,4,8,5,3,100,72,36,1022,1019,1013,31,18,10,14,6,,0.00,1,Fog,190<br />
2014-10-6,13,10,7,11,8,4,94,81,59,1013,1003,998,31,15,7,32,16,,6.10,3,Rain,161<br />
2014-10-7,15,11,7,10,7,3,100,76,34,1003,998,994,31,13,2,39,14,,0.25,2,Rain,220<br />
2014-10-8,18,12,7,13,9,5,94,79,52,1003,996,993,31,15,10,35,14,45,1.02,2,Rain,177<br />
2014-10-9,18,14,11,11,10,8,88,77,48,1005,999,995,31,15,3,39,21,53,2.03,2,Rain-Thunderstorm,209<br />
2014-10-10,18,13,9,12,10,8,94,80,45,1011,1009,1005,31,17,10,26,14,42,3.05,2,Rain,207<br />
2014-10-11,17,13,9,12,10,8,100,81,51,1013,1011,1010,31,13,8,24,10,,0.51,1,Rain,208<br />
2014-10-12,14,10,6,11,8,5,100,84,57,1014,1010,1003,31,14,6,23,6,37,2.03,2,Fog-Rain,53<br />
2014-10-13,14,12,11,13,11,9,100,91,83,1003,998,996,31,11,5,26,19,,1.02,6,Rain,348<br />
2014-10-14,14,13,12,12,12,11,95,91,81,1007,1004,999,31,12,6,16,11,,0.25,6,Rain,290<br />
2014-10-15,15,13,12,13,12,11,100,90,73,1007,1004,999,26,9,2,16,8,,3.05,5,Rain,102<br />
2014-10-16,18,14,11,14,12,11,100,87,58,1004,1002,999,31,12,6,21,10,34,0.25,2,Rain,214<br />
2014-10-17,19,16,13,15,14,12,100,84,62,1011,1009,1004,29,14,8,24,13,42,0.51,2,Rain,188<br />
2014-10-18,19,18,16,16,15,14,94,81,67,1013,1011,1008,31,15,10,29,21,,0.00,3,Rain,197<br />
2014-10-19,21,17,14,16,13,11,94,78,48,1016,1013,1011,31,14,5,34,21,47,0.00,3,Rain,225<br />
2014-10-20,17,14,12,11,11,9,88,76,50,1017,1016,1012,31,15,10,27,19,,0.25,3,,238<br />
2014-10-21,14,11,8,13,6,1,94,65,37,1021,1009,1001,31,14,3,47,27,69,3.05,3,Rain,268<br />
2014-10-22,14,10,6,8,5,1,87,70,46,1026,1024,1021,29,17,10,26,19,,0.00,2,Rain,268<br />
2014-10-23,16,13,11,14,10,7,94,76,58,1023,1020,1016,31,14,9,23,16,,0.00,5,,214<br />
2014-10-24,17,13,10,14,13,9,94,86,68,1016,1015,1012,31,13,9,24,14,,0.25,4,Rain,227<br />
2014-10-25,16,11,7,9,8,6,100,75,41,1021,1018,1016,31,13,10,26,13,,0.00,4,,237<br />
2014-10-26,16,13,12,9,8,7,77,67,45,1022,1021,1020,31,12,10,27,18,40,0.00,5,,217<br />
2014-10-27,18,16,12,13,12,9,94,80,55,1022,1020,1017,31,14,8,29,16,40,0.00,3,,192<br />
2014-10-28,18,14,9,14,12,9,100,83,47,1017,1013,1011,31,13,0,24,11,37,0.00,3,Fog-Rain,181<br />
2014-10-29,14,13,12,14,12,10,100,92,80,1018,1016,1013,26,7,1,16,11,,2.03,6,Rain,80<br />
2014-10-30,18,16,13,15,14,12,100,89,72,1019,1018,1017,13,6,1,16,10,,0.00,5,,170<br />
2014-10-31,23,17,12,15,13,11,100,78,40,1019,1016,1015,31,13,3,23,8,48,0.00,1,,170<br />
2014-11-1,18,16,13,15,11,6,94,74,39,1016,1014,1011,29,13,9,32,18,48,0.25,3,Rain,211<br />
2014-11-2,16,13,10,13,11,8,94,82,64,1011,1005,999,29,14,0,27,23,50,11.94,4,Rain,207<br />
2014-11-3,10,8,6,9,7,4,94,84,60,999,992,989,31,14,2,23,14,34,5.08,3,Rain,208<br />
2014-11-4,13,8,3,7,5,3,100,86,46,998,993,989,31,11,0,21,6,,11.94,4,Fog-Rain-Snow-Thunderstorm,287<br />
2014-11-5,11,7,3,7,4,2,93,83,61,1010,1005,999,27,10,5,16,8,,0.00,3,Rain,309<br />
2014-11-6,12,6,0,10,4,0,100,82,53,1010,1006,996,31,10,1,29,11,,0.25,3,Fog-Rain,170<br />
2014-11-7,13,10,8,12,8,5,95,80,52,1000,994,989,31,11,2,42,23,42,5.08,4,Rain,207<br />
2014-11-8,14,11,7,11,8,5,94,84,64,1002,1001,998,31,14,5,34,18,52,2.03,3,Rain,192<br />
2014-11-9,13,10,6,9,7,4,100,83,47,1005,1003,1001,31,11,0,14,6,32,0.00,2,Fog,212<br />
2014-11-10,13,9,6,9,8,5,93,83,60,1005,1003,1000,31,16,9,26,13,,0.00,2,Rain,175<br />
2014-11-11,13,11,9,10,9,7,94,80,59,1001,996,993,31,13,5,32,21,,0.25,3,Rain,136<br />
2014-11-12,13,12,10,11,9,6,94,84,54,1004,997,992,31,13,3,24,16,,3.05,3,Rain,165<br />
2014-11-13,13,11,8,11,9,8,100,87,73,1005,1003,1001,27,14,5,29,16,,0.25,3,Rain,139<br />
2014-11-14,14,11,7,12,9,6,94,81,56,1002,999,997,31,14,3,26,18,,9.91,3,Rain,151<br />
2014-11-15,13,9,6,11,8,6,100,91,78,1001,999,998,23,11,5,13,8,,2.03,2,Rain,92<br />
2014-11-16,11,9,7,9,8,8,100,92,81,1001,999,998,11,8,3,11,8,,0.25,3,Rain,40<br />
2014-11-17,10,9,7,8,7,6,100,89,79,1006,1001,997,31,11,5,19,13,,2.03,4,Rain,101<br />
2014-11-18,13,10,7,9,8,6,93,86,60,1014,1010,1006,27,11,6,13,8,,0.25,2,Rain,53<br />
2014-11-19,11,9,7,9,7,5,100,88,70,1023,1019,1014,10,5,3,14,10,,0.00,2,,93<br />
2014-11-20,11,8,6,8,6,5,93,87,66,1026,1024,1023,13,6,3,16,8,,0.00,3,,69<br />
2014-11-21,10,7,4,9,6,4,100,91,82,1023,1018,1012,6,4,2,19,10,,1.02,5,Rain,94<br />
2014-11-22,14,11,8,13,12,9,100,94,88,1015,1013,1011,14,5,1,14,10,,0.51,5,Rain,164<br />
2014-11-23,9,7,4,13,8,2,100,91,87,1022,1017,1014,26,9,2,14,8,,13.97,5,Rain,330<br />
2014-11-24,8,4,1,5,2,1,100,90,69,1028,1026,1023,23,12,5,11,5,,0.25,,Fog,313<br />
2014-11-25,9,4,-1,8,4,0,100,90,74,1027,1022,1015,27,9,5,14,6,,2.03,3,Fog-Rain,56<br />
2014-11-26,10,9,8,9,8,7,100,96,92,1015,1011,1007,6,3,1,8,5,,2.03,6,Rain,39<br />
2014-11-27,11,9,8,9,8,7,100,91,74,1007,1003,1001,31,9,2,16,6,,0.00,4,Rain,104<br />
2014-11-28,12,10,8,10,9,9,94,88,74,1007,1003,1001,14,8,5,23,13,,0.51,5,Rain,77<br />
2014-11-29,13,10,6,10,8,5,100,86,68,1013,1010,1007,11,8,3,14,8,,0.00,,Rain,78<br />
2014-11-30,12,8,4,9,7,4,100,87,63,1015,1014,1012,31,8,0,19,6,,0.00,5,Fog-Rain,323<br />
2014-12-1,8,7,6,8,4,3,93,80,67,1015,1014,1013,26,9,6,16,13,,0.00,7,Rain,33<br />
2014-12-2,8,7,6,7,4,2,100,80,62,1024,1018,1014,31,11,1,27,13,,1.02,5,Rain,359<br />
2014-12-3,8,6,4,5,3,1,93,78,56,1025,1023,1020,31,15,9,23,16,37,0.51,4,Rain,17<br />
2014-12-4,5,4,3,4,3,0,100,87,61,1020,1016,1014,16,8,2,23,10,,4.06,6,Rain,52<br />
2014-12-5,7,4,2,4,3,0,100,87,72,1025,1020,1016,31,10,5,14,6,,0.00,4,Rain,293<br />
2014-12-6,6,2,-1,3,1,-1,100,85,60,1029,1027,1024,31,15,10,14,8,,0.25,4,,265<br />
2014-12-7,11,7,2,8,4,-1,93,79,47,1024,1019,1016,31,14,10,35,16,,0.51,3,Rain,246<br />
2014-12-8,7,4,1,2,1,-1,93,76,51,1027,1020,1017,31,17,10,23,13,,0.00,2,Rain,270<br />
2014-12-9,12,6,-1,11,3,-1,100,86,64,1029,1024,1013,31,15,3,37,14,52,0.25,5,Rain,224<br />
2014-12-10,9,7,6,11,3,1,90,70,44,1017,1015,1012,31,18,3,40,27,,0.00,2,Rain,246<br />
2014-12-11,10,8,5,6,3,2,82,72,51,1013,1009,1001,31,15,10,40,31,,0.25,2,Rain,246<br />
2014-12-12,9,6,2,9,4,-1,94,79,59,1005,997,991,31,11,3,40,26,55,1.02,3,Rain,253<br />
2014-12-13,7,3,0,2,1,-1,100,83,53,1015,1011,1005,31,19,9,13,8,,0.00,2,,278<br />
2014-12-14,10,4,-1,9,3,-1,100,84,62,1015,1012,1008,31,16,9,29,14,45,0.25,3,Rain,215<br />
2014-12-15,10,7,4,8,5,3,100,85,67,1014,1012,1008,31,16,6,26,16,,0.00,2,Rain,260<br />
2014-12-16,8,4,0,6,3,1,100,90,65,1016,1014,1009,31,11,0,21,10,,3.05,4,Fog-Rain,253<br />
2014-12-17,13,9,4,11,10,6,100,90,76,1009,1006,1003,31,12,6,34,21,55,0.25,5,Rain,252<br />
2014-12-18,13,12,11,11,11,10,94,85,74,1011,1010,1009,31,12,10,37,29,60,0.00,6,,245<br />
2014-12-19,12,9,5,11,6,2,94,75,46,1024,1015,1008,31,15,5,35,26,,0.51,4,Rain,256<br />
2014-12-20,9,7,4,4,3,2,87,75,53,1031,1027,1024,31,15,10,32,19,45,0.00,3,Rain,251<br />
2014-12-21,12,8,3,9,6,3,93,80,65,1032,1026,1021,31,12,10,35,23,47,0.00,6,Rain,237<br />
2014-12-22,13,12,10,11,9,7,94,77,63,1021,1018,1017,31,14,8,40,32,55,0.00,5,Rain,240<br />
2014-12-23,13,11,10,9,7,5,82,72,58,1019,1016,1014,31,12,10,42,32,61,0.00,4,Rain,238<br />
2014-12-24,12,8,4,10,4,-2,94,71,38,1024,1017,1012,31,13,10,34,26,45,0.25,5,Rain,262<br />
2014-12-25,8,6,2,3,2,1,93,79,51,1033,1029,1024,31,19,10,24,16,,0.00,1,,275<br />
2014-12-26,9,4,-1,8,2,-1,100,91,76,1033,1023,999,31,13,3,29,10,,4.06,5,Rain,201<br />
2014-12-27,4,3,2,8,1,-1,93,83,64,1015,1008,999,31,13,9,42,26,61,0.00,4,Rain,330<br />
2014-12-28,6,2,-2,1,-2,-3,100,76,45,1039,1030,1015,31,17,8,16,11,,0.00,1,,5<br />
2014-12-29,6,1,-4,2,-1,-4,100,87,62,1043,1041,1038,24,10,5,13,8,,0.25,1,,289<br />
2014-12-30,6,1,-4,2,-1,-4,100,90,68,1042,1039,1036,27,9,3,14,6,,0.25,3,,258<br />
2014-12-31,8,2,-4,5,2,-4,100,89,70,1036,1034,1032,19,9,0,23,8,37,0.25,4,Fog,201<br />
